chapter,method,character,mention
10,span-based,Mrs. Reed,"Missis looks stout and well enough in the face, but I think she’s not quite easy in her mind."
10,span-based,Bessie,"I saw a woman attired like a well-dressed servant, matronly, yet still young; very good-looking, with black hair and eyes, and lively complexion."
10,span-based,Georgiana Reed,"Very. She went up to London last winter with her mama, and there everybody admired her."
10,span-based,Mrs. Fairfax,"I saw her in a black gown and widow’s cap; frigid, perhaps, but not uncivil: a model of elderly English respectability."
38,span-based,Mary,the housekeeper and her husband were both of that decent phlegmatic order of people
38,span-based,Mary,"Mary did look up, and she did stare at me"
38,span-based,Mr. Wharton,"a clergyman, a college friend of her brother’s, and, from his attainments and principles, worthy of the connection"
38,span-based,Diana Rivers,"Diana’s husband is a captain in the navy, a gallant officer and a good man"
38,span-based,St. John Rivers,"A more resolute, indefatigable pioneer never wrought amidst rocks and dangers."
38,span-based,St. John Rivers,"Firm, faithful, and devoted, full of energy, and zeal, and truth"
38,span-based,St. John Rivers,He may be stern; he may be exacting; he may be ambitious yet; but his is the sternness of the warrior Greatheart
38,span-based,Mr. Rochester,"My Edward and I, then, are happy"
38,span-based,Mr. Rochester,his glorious sun hastens to its setting.
38,span-based,Mr. Rochester,he came and bent over me
1,span-based,John Reed,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities."
1,span-based,John Reed,"He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks."
1,span-based,John Reed,I mused on the disgusting and ugly appearance of him who would presently deal it.
1,span-based,Mrs. Reed,"she lay reclined on a sofa by the fireside, and with her darlings about her (for the time neither quarrelling nor crying) looked perfectly happy."
1,span-based,Mrs. Reed,"Mrs. Reed was blind and deaf on the subject: she never saw him strike or heard him abuse me, though he did both now and then in her very presence, more frequently, however, behind her back."
11,span-based,Mrs. Fairfax,"the neatest imaginable little elderly lady, in widow’s cap, black silk gown, and snowy muslin apron; exactly like what I had fancied Mrs. Fairfax, only less stately and milder looking."
11,span-based,Mrs. Fairfax,She was occupied in knitting; a large cat sat demurely at her feet.
11,span-based,Jane,obliged to be plain—for I had no article of attire that was not made with extreme simplicity—I was still by nature solicitous to be neat.
11,span-based,Jane,"I sometimes regretted that I was not handsomer; I sometimes wished to have rosy cheeks, a straight nose, and small cherry mouth; I desired to be tall, stately, and finely developed in figure; I felt it a misfortune that I was so little, so pale, and had features so irregular and so marked."
11,span-based,Jane,"when I had brushed my hair very smooth, and put on my black frock—which, Quakerlike as it was, at least had the merit of fitting to a nicety—and adjusted my clean white tucker, I thought I should do respectably enough to appear before Mrs. Fairfax."
11,span-based,Grace Poole,"a woman of between thirty and forty; a set, square-made figure, red-haired, and with a hard, plain face: any apparition less romantic or less ghostly could scarcely be conceived."
13,span-based,Mr. Rochester,he was looking at Adèle and the dog: the fire shone full on his face.
13,span-based,Mr. Rochester,"I knew my traveller with his broad and jetty eyebrows; his square forehead, made squarer by the horizontal sweep of his black hair."
13,span-based,Mr. Rochester,"I recognised his decisive nose, more remarkable for character than beauty; his full nostrils, denoting, I thought, choler; his grim mouth, chin, and jaw—yes, all three were very grim, and no mistake."
13,span-based,Mr. Rochester,"His shape, now divested of cloak, I perceived harmonised in squareness with his physiognomy: I suppose it was a good figure in the athletic sense of the term—broad chested and thin flanked, though neither tall nor graceful."
13,span-based,Mr. Rochester,"he took the cup from my hand, Adèle, thinking the moment propitious for making a request in my favour, cried out—"
13,span-based,Mr. Rochester,"Who talks of cadeaux? said he gruffly. Did you expect a present, Miss Eyre? Are you fond of presents? and he searched my face with eyes that I saw were dark, irate, and piercing."
13,span-based,Mr. Rochester,What age were you when you went to Lowood? About ten.
13,span-based,Mr. Rochester,"that head I see now on your shoulders? Yes, sir."
13,span-based,Mr. Rochester,"that is not saying much. Your pleasures, by your own account, have been few; but I daresay you did exist in a kind of artist’s dreamland while you blent and arranged these strange tints."
13,span-based,Mrs. Fairfax,"she came in, breaking up by her entrance the fiery mosaic I had been piercing together, and scattering too some heavy unwelcome thoughts that were beginning to throng on my solitude."
13,span-based,Mrs. Fairfax,she always dress for the evening when Mr. Rochester is here.
2,span-based,John Reed,"John no one thwarted, much less punished; though he twisted the necks of the pigeons, killed the little pea-chicks, set the dogs at the sheep, stripped the hothouse vines of their fruit, and broke the buds off the choicest plants in the conservatory: he called his mother 'old girl,' too; sometimes reviled her for her dark skin, similar to his own; bluntly disregarded her wishes; not unfrequently tore and spoiled her silk attire; and he was still 'her own darling.'"
2,span-based,Georgiana Reed,"Her beauty, her pink cheeks and golden curls, seemed to give delight to all who looked at her, and to purchase indemnity for every fault."
2,span-based,Eliza Reed,"Eliza, who was headstrong and selfish, was respected."
2,span-based,Mrs. Reed,"Mrs. Reed herself, at far intervals, visited it to review the contents of a certain secret drawer in the wardrobe, where were stored divers parchments, her jewel-casket, and a miniature of her deceased husband."
2,span-based,Mrs. Reed,"Mrs. Reed probably considered she had kept this promise; and so she had, I dare say, as well as her nature would permit her; but how could she really like an interloper not of her race, and unconnected with her, after her husband’s death, by any tie?"
2,span-based,Bessie,"If you don’t sit still, you must be tied down, said Bessie. Miss Abbot, lend me your garters; she would break mine directly."
3,span-based,Bessie,Bessie stood at the bed-foot with a basin in her hand
3,span-based,Bessie,"Bessie, as she moved hither and thither, putting away toys and arranging drawers, addressed to me every now and then a word of unwonted kindness"
3,span-based,Bessie,"Bessie had a sweet voice,—at least, I thought so"
3,span-based,Bessie,"She passed into another ballad, this time a really doleful one"
3,span-based,Bessie,Bessie answered that I was doing very well
3,span-based,Abbot,"for instance, would have been"
3,span-based,Jane,"I noticed his eyes were small and grey; not very bright, but I dare say I should think them shrewd now: he had a hard-featured yet good-natured looking face"
12,span-based,Grace Poole,"hard-featured and staid, she had no point to which interest could attach."
12,span-based,Mrs. Fairfax,"a placid-tempered, kind-natured woman, of competent education and average intelligence."
12,span-based,Mrs. Fairfax,"yielded a pleasure in her society proportionate to the tranquil regard she had for me, and the moderation of her mind and character."
12,span-based,Mr. Rochester,"His figure was enveloped in a riding cloak, fur collared and steel clasped; its details were not apparent, but I traced the general points of middle height and considerable breadth of chest."
12,span-based,Mr. Rochester,"He had a dark face, with stern features and a heavy brow; his eyes and gathered eyebrows looked ireful and thwarted just now; he was past youth, but had not reached middle-age; perhaps he might be thirty-five."
16,span-based,Grace Poole,"There she sat, staid and taciturn-looking, as usual, in her brown stuff gown, her check apron, white handkerchief, and cap."
